symbol,timeframe,open_time,close_time,open,high,low,close,volume,trades
BTCUSDT,1d,1511308800000,1511395199999,8091.09000000,8322.68000000,8091.09000000,8205.92000000,3545.00571000,14752
BTCUSDT,1d,1511395200000,1511481599999,8233.03000000,8260.00000000,8000.00000000,8019.99000000,4093.95268700,16625
BTCUSDT,1d,1511481600000,1511567999999,8019.97000000,8369.00000000,7850.00000000,8138.00000000,4411.78911200,19754
BTCUSDT,1d,1511568000000,1511654399999,8138.99000000,8734.78000000,8090.00000000,8700.01000000,4292.62368200,18632
BTCUSDT,1d,1511654400000,1511740799999,8700.04000000,9350.00000000,8604.72000000,9128.02000000,4147.38023700,19268
BTCUSDT,1d,1511740800000,1511827199999,9128.00000000,9654.28000000,9112.04000000,9650.00000000,4521.62570700,22806
BTCUSDT,1d,1511827200000,1511913599999,9650.00000000,9939.00000000,9570.50000000,9896.80000000,4917.21098500,18923
BTCUSDT,1d,1511913600000,1511999999999,9896.79000000,11300.03000000,8520.00000000,9687.88000000,13352.53871500,47894
BTCUSDT,1d,1512000000000,1512086399999,9687.88000000,10900.00000000,8850.80000000,9838.96000000,9389.57432900,41153
BTCUSDT,1d,1512086400000,1512172799999,9837.00000000,10898.00000000,9380.00000000,10782.99000000,6134.92363300,32375
BTCUSDT,1d,1512172800000,1512259199999,10775.04000000,11190.00000000,10620.00000000,10890.01000000,4765.43975700,29694
BTCUSDT,1d,1512259200000,1512345599999,10902.69000000,11825.00000000,10500.00000000,11165.41000000,5346.63652400,39335
BTCUSDT,1d,1512345600000,1512431999999,11165.41000000,11600.00000000,10802.00000000,11579.00000000,4663.42456200,32232
BTCUSDT,1d,1512432000000,1512518399999,11571.03000000,11853.00000000,11447.68000000,11699.99000000,5550.73205500,31317
BTCUSDT,1d,1512518400000,1512604799999,11699.99000000,13615.23000000,11665.58000000,13550.05000000,6707.94631900,40196
BTCUSDT,1d,1512604800000,1512691199999,13541.01000000,16649.96000000,13050.00000000,16599.00000000,7487.06569500,57541
BTCUSDT,1d,1512691200000,1512777599999,16599.00000000,17204.99000000,14015.00000000,15880.00000000,17589.01313600,84727
BTCUSDT,1d,1512777600000,1512863999999,15880.01000000,16269.30000000,12535.00000000,14656.07000000,13918.75868700,66738
